timestamp,avail (mebibytes),anomaly%,annotations
1755920506000,1736.719,-,-
1755920507000,1734.391,-,-
1755920508000,1734.922,-,-
1755920509000,1735.5,-,-
1755920510000,1735.746,-,-
1755920511000,1736.594,-,-
1755920512000,1733.93,-,-
1755920513000,1737.82,-,-
1755920514000,1739.652,-,-
1755920515000,1740.504,-,-
1755920516000,1739.594,-,-
1755920517000,1737.336,-,-
1755920518000,1736.988,-,-
1755920519000,1736.348,-,-
1755920520000,1735.504,-,-
1755920521000,1734.137,-,-
1755920522000,1734.961,-,-
1755920523000,1734.527,-,-
1755920524000,1735.23,-,-
1755920525000,1734.496,-,-
1755920526000,1734.402,-,-
1755920527000,1739.668,-,-
1755920528000,1720.922,-,-
1755920529000,1636.3984,-,-
1755920530000,1414.8438,-,-
1755920531000,1363.4492,-,-
1755920532000,1256.9062,-,-
1755920533000,983.25,-,-
1755920534000,907.7266,-,-
1755920535000,873.7617,-,-
1755920536000,-,-,-
1755920537000,-,-,-
1755920538000,-,-,-
1755920539000,868.1012,-,-
1755920540000,862.3633,-,-
1755920541000,827.7812,-,-
1755920542000,820.3906,-,-
1755920543000,812.9023,-,-
1755920544000,807.7305,-,-
1755920545000,803.8828,-,-
1755920546000,801.1719,-,-
1755920547000,798.0586,-,-
1755920548000,822.5664,-,-
1755920549000,816.2734,-,-
1755920550000,809.3242,-,-
1755920551000,803.3516,-,-
1755920552000,802.2383,-,-
1755920553000,800.375,-,-
1755920554000,797.6328,-,-
1755920555000,795.9023,-,-
1755920556000,797.3008,-,-
1755920557000,792.0664,-,-
1755920558000,792.8945,-,-
1755920559000,793.0273,-,-
1755920560000,789.3477,-,-
1755920561000,785.1914,-,-
1755920562000,779.2656,-,-
1755920563000,781.1289,-,-
1755920564000,778.418,-,-
1755920565000,778.6055,-,-
1755920566000,776.207,-,-
1755920567000,774.8438,-,-
1755920568000,771.7344,-,-
1755920569000,772.9805,-,-
1755920570000,771.7891,-,-
1755920571000,770.5781,-,-
