timestamp,free (mebibytes),used (mebibytes),cached (mebibytes),buffers (mebibytes),anomaly%,annotations
1756262132000,1104.1934,5911.1075,654.0625,8.5742185,-,-
1756262134000,1104.19335,5911.381,653.78515,8.578125,-,-
1756262136000,1099.11915,5916.264,653.97465,8.580078,-,-
1756262138000,1094.20705,5920.9455,654.19725,8.5878905,-,-
1756262140000,1096.3535,5918.5295,654.46095,8.59375,-,-
1756262142000,1095.6406,5919.752,653.9512,8.59375,-,-
1756262144000,1094.5254,5920.49,654.3203,8.601562,-,-
1756262146000,1090.85155,5923.51,654.97265,8.6035155,-,-
1756262148000,1093.6426,5918.002,657.68355,8.609375,-,-
1756262150000,1091.9746,5920.219,657.13085,8.613281,-,-
1756262152000,1091.52735,5921.1895,656.60355,8.6171875,-,-
1756262154000,1089.55465,5923.736,656.0254,8.621094,-,-
1756262156000,1089.59375,5924.1215,655.60155,8.621094,-,-
1756262158000,1128.8164,5885.422,655.0703,8.628906,-,-
1756262160000,1132.916,5881.8415,654.5508,8.628906,-,-
1756262162000,1132.74805,5882.455,654.1016,8.6328125,-,-
1756262164000,1128.3496,5887.4315,653.51955,8.636719,-,-
1756262166000,1151.791,5863.7715,653.7344,8.640625,-,-
1756262168000,1171.3535,5844.6835,653.24805,8.652344,-,-
1756262170000,1169.9141,5846.74,652.6309,8.652344,-,-
1756262172000,1169.73245,5847.4905,652.0625,8.652344,-,-
1756262174000,1167.2129,5850.6115,651.4531,8.660156,-,-
1756262176000,1169.9922,5848.246,651.03905,8.660156,-,-
1756262178000,1167.0176,5851.7675,650.4883,8.6640625,-,-
1756262180000,1163.13085,5856.209,649.92775,8.669922,-,-
1756262182000,1165.7246,5853.734,649.8008,8.6777345,-,-
1756262184000,1167.459,5851.975,649.8203,8.683594,-,-
1756262186000,1166.94725,5852.4745,649.832,8.683594,-,-
1756262188000,1164.2578,5855.1505,649.8418,8.6875,-,-
1756262190000,1167.41215,5851.9845,649.84965,8.691406,-,-
1756262192000,1165.96485,5853.418,649.8633,8.691406,-,-
1756262194000,1164.5449,5854.8185,649.875,8.699219,-,-
1756262196000,1164.43165,5854.9195,649.8867,8.699219,-,-
1756262198000,1163.23435,5856.111,649.89255,8.699219,-,-
1756262200000,1160.0547,5859.2735,649.9023,8.707031,-,-
1756262202000,1161.4238,5857.9,649.9062,8.707031,-,-
1756262204000,1161.98245,5857.3245,649.92385,8.707031,-,-
1756262206000,1497.22855,5522.051,649.94335,8.714844,-,-
1756262208000,1494.19925,5525.0745,649.9492,8.714844,-,-
1756262210000,1499.6992,5519.574,649.9492,8.714844,-,-
1756262212000,1500.15235,5519.1135,649.9492,8.722656,-,-
1756262214000,1254.1953,5764.934,649.9648,8.84375,-,-
1756262216000,1075.293,5943.211,650.5859,8.847656,-,-
1756262218000,1067.1465,5951.559,650.37695,8.855469,-,-
1756262220000,1055.43555,5962.998,650.6445,8.859375,-,-
1756262222000,1066.168,5952.332,650.56835,8.8691405,-,-
1756262224000,1074.18165,5943.8045,651.0762,8.875,-,-
1756262226000,1065.7871,5952.4085,650.8633,8.878906,-,-
1756262228000,1060.4473,5957.2075,651.39255,8.890625,-,-
1756262230000,1058.15235,5959.359,651.5332,8.892578,-,-
1756262232000,1055.45705,5962.0295,651.5508,8.9003905,-,-
1756262234000,1049.96095,5967.3655,651.70505,8.90625,-,-
1756262236000,1046.3613,5970.721,651.94725,8.908203,-,-
1756262238000,1070.3008,5946.127,652.5938,8.9160155,-,-
1756262240000,1095.52735,5920.377,653.11135,8.921875,-,-
1756262242000,1092.49025,5922.711,653.81055,8.925781,-,-
1756262244000,1088.9492,5925.406,654.6445,8.9375,-,-
1756262246000,1081.73045,5932.5955,654.66995,8.941406,-,-
1756262248000,1072.0703,5942.041,654.87305,8.953125,-,-
1756262250000,1074.1543,5940.7265,654.10155,8.955078,-,-
1756262252000,1071.49025,5943.422,654.0625,8.9628905,-,-
1756262254000,1068.1914,5946.3675,654.41015,8.96875,-,-
1756262256000,1067.19725,5947.34,654.42775,8.972656,-,-
1756262258000,1063.51955,5951.3185,654.11525,8.984375,-,-
1756262260000,1061.78125,5953.498,653.67185,8.986328,-,-
1756262262000,1059.08595,5956.955,652.9082,8.988281,-,-
1756262264000,1059.1055,5956.592,653.24025,9,-,-
