timestamp,Committed_AS (mebibytes),anomaly%,annotations
1755920748000,14683.297,-,-
1755920749000,14683.297,-,-
1755920750000,14683.297,-,-
1755920751000,-,-,-
1755920752000,-,-,-
1755920753000,-,-,-
1755920754000,14683.056,-,-
1755920755000,14682.812,-,-
1755920756000,14682.812,-,-
1755920757000,14682.812,-,-
1755920758000,14682.812,-,-
1755920759000,14852.062,-,-
1755920760000,14682.812,-,-
1755920761000,14682.875,-,-
1755920762000,14682.875,-,-
1755920763000,14682.875,-,-
1755920764000,14682.875,-,-
1755920765000,14682.938,-,-
1755920766000,14682.938,-,-
1755920767000,14682.938,-,-
1755920768000,14682.938,-,-
1755920769000,14682.938,-,-
1755920770000,14682.938,-,-
1755920771000,14683.062,-,-
1755920772000,14683.129,-,-
1755920773000,14683.504,-,-
1755920774000,14683.504,-,-
1755920775000,14683.504,-,-
1755920776000,14683.566,-,-
1755920777000,14683.566,-,-
1755920778000,14683.566,-,-
1755920779000,14683.566,-,-
1755920780000,14683.566,-,-
1755920781000,14683.566,-,-
1755920782000,14683.566,-,-
1755920783000,14683.566,-,-
1755920784000,14683.566,-,-
1755920785000,14683.566,-,-
1755920786000,14683.566,-,-
1755920787000,-,-,-
1755920788000,-,-,-
1755920789000,-,-,-
1755920790000,14683.566,-,-
1755920791000,14683.566,-,-
1755920792000,14683.566,-,-
1755920793000,14683.566,-,-
1755920794000,14683.566,-,-
1755920795000,14683.566,-,-
1755920796000,14683.566,-,-
1755920797000,14683.566,-,-
1755920798000,14683.566,-,-
1755920799000,14683.566,-,-
1755920800000,14683.566,-,-
1755920801000,14683.566,-,-
1755920802000,14683.562,-,-
1755920803000,14683.566,-,-
1755920804000,14683.566,-,-
1755920805000,14684.832,-,-
1755920806000,14683.566,-,-
1755920807000,14683.566,-,-
1755920808000,14683.566,-,-
1755920809000,14683.566,-,-
1755920810000,14683.566,-,-
1755920811000,14683.566,-,-
1755920812000,14683.566,-,-
1755920813000,14683.566,-,-
1755920814000,14683.566,-,-
1755920815000,14683.566,-,-
1755920816000,14683.566,-,-
1755920817000,14683.566,-,-
1755920818000,14683.566,-,-
1755920819000,14683.566,-,-
1755920820000,14683.566,-,-
1755920821000,14683.566,-,-
1755920822000,14683.566,-,-
1755920823000,-,-,-
1755920824000,-,-,-
1755920825000,-,-,-
1755920826000,14683.566,-,-
1755920827000,14683.566,-,-
1755920828000,14683.566,-,-
1755920829000,14683.566,-,-
